sample_name,outcome,predictor,predictor_type,test_family,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,n_predictor_levels,weighted_pct_outcome_yes_overall,effect_measure,effect_value,weighted_mean_predictor_yes,weighted_mean_predictor_no,p_value,test_status,p_value_bh,preliminary_bivariate_decision,effect_abs,outcome_label,preliminary_outcome_decision,predictor_label,predictor_type_main,predictor_role,preliminary_modeling_decision.x,original_item,variable_label,theoretical_block,predictor_use_group,preliminary_modeling_decision.y,recommended_general_role,outcome_family,modeling_priority,recommended_modeling_status,script10_recommendation,outcome_proximity_warning,final_decision,reviewer_note
main_grade_10_12,a_H1CO13_yesno,num_H1SE2,categorical,binary_outcome_by_categorical_predictor,479,479,362,117,6,77.17245640128894,range_weighted_pct_yes_across_predictor_categories,83.49271152019493,NA,NA,2.1256107683021664e-4,rao_scott_chisq_completed,0.01360390891713386,candidate_association_after_bh_adjustment,83.49271152019493,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,H1SE2,NA,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,candidate_for_modeling,eligible_predictor_block,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,candidate_key_predictor,FALSE,,
main_grade_10_12,a_H1CO13_yesno,derived_main_sample_flag,binary,binary_outcome_by_categorical_predictor,481,481,363,118,1,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,0,NA,NA,NA,insufficient_complete_cases_or_cells,NA,test_not_available,0,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling,derived_main_sample_flag,NA,other_review_required,other_predictor_review,candidate_for_modeling,review,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,exclude_or_review_insufficient_data,FALSE,,
main_grade_10_12,a_H1CO13_yesno,num_IYEAR,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,1,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,0,NA,NA,NA,insufficient_complete_cases_or_cells,NA,test_not_available,0,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,IYEAR,NA,other_review_required,other_predictor_review,candidate_for_modeling,review,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,exclude_or_review_insufficient_data,FALSE,,
main_grade_10_12,a_H1CO13_yesno,a_grade_wave1,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,3,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,6.703581800876563,NA,NA,0.45329544433744134,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,6.703581800876563,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,core_covariate,candidate_for_modeling,grade_wave1,NA,core_sociodemographic_controls,mandatory_core_control,candidate_for_modeling,mandatory_control_in_all_models,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,force_include_as_core_control,FALSE,,
main_grade_10_12,a_H1CO13_yesno,a_age_wave1,continuous,binary_outcome_by_continuous_predictor,481,481,363,118,NA,77.15598536211316,weighted_mean_difference_yes_minus_no,0.0337890160285923,17.172154148348927,17.138365132320335,0.7746745518944095,weighted_t_test_completed,0.918132802245226,no_bivariate_evidence,0.0337890160285923,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,core_covariate,candidate_for_modeling,age_wave1,NA,core_sociodemographic_controls,mandatory_core_control,candidate_for_modeling,mandatory_control_in_all_models,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,force_include_as_core_control,FALSE,,
main_grade_10_12,a_H1CO13_yesno,a_female,binary,binary_outcome_by_categorical_predictor,481,481,363,118,1,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,0,NA,NA,NA,insufficient_complete_cases_or_cells,NA,test_not_available,0,NA,candidate_outcome_for_bivariate_analysis,NA,binary,core_covariate,candidate_for_modeling,female,NA,core_sociodemographic_controls,mandatory_core_control,candidate_for_modeling,mandatory_control_in_all_models,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,force_include_as_core_control,FALSE,,
main_grade_10_12,a_H1CO13_yesno,derived_age_15_19_flag,binary,binary_outcome_by_categorical_predictor,481,481,363,118,2,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,22.982720855701857,NA,NA,0.35290719577003915,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,22.982720855701857,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling,derived_age_15_19_flag,NA,sociodemographic_controls,optional_sociodemographic_control,candidate_for_modeling,optional_control_review,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,include_or_review_as_control,FALSE,,
main_grade_10_12,a_H1CO13_yesno,derived_grade_wave1,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,3,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,6.703581800876563,NA,NA,0.45329544433744134,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,6.703581800876563,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,script05_derived_variable,candidate_for_modeling,derived_grade_wave1,NA,sociodemographic_controls,optional_sociodemographic_control,candidate_for_modeling,optional_control_review,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,include_or_review_as_control,FALSE,,
main_grade_10_12,a_H1CO13_yesno,derived_age_wave1,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,7,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,34.58851826685439,NA,NA,0.7253512941956084,rao_scott_chisq_completed,0.9102447613435084,no_bivariate_evidence,34.58851826685439,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,script05_derived_variable,candidate_for_modeling,derived_age_wave1,NA,sociodemographic_controls,optional_sociodemographic_control,candidate_for_modeling,optional_control_review,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,include_or_review_as_control,FALSE,,
main_grade_10_12,a_H1CO13_yesno,derived_grade_10_12_flag,binary,binary_outcome_by_categorical_predictor,481,481,363,118,1,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,0,NA,NA,NA,insufficient_complete_cases_or_cells,NA,test_not_available,0,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling,derived_grade_10_12_flag,NA,sociodemographic_controls,optional_sociodemographic_control,candidate_for_modeling,optional_control_review,contraceptive_use,primary_or_secondary,recommended_for_script10_primary_or_secondary_model,include_or_review_as_control,FALSE,,
