model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,outcome_domain,term_domain,ci_width_ratio,absolute_log_or,p_value_band,or_direction,extreme_or_flag,ci_width_flag,conceptual_overlap_flag,coefficient_reporting_decision
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP132,num_H1WP13,-2.437004661203107,1.1869376086603427,-2.053186825846452,0.04105501542623058,0.08742231913858171,0.00853651551148001,0.8952905753278467,*,estimated,condom_or_contraceptive_use,other,104.87775417544184,2.437004661203107,p_lt_0_05,lower_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP133,num_H1WP13,-1.265365492936596,1.110191415763934,-1.139772362647828,0.25543006716724903,0.2821361585205381,0.03202172603914021,2.485837641838231,NA,estimated,condom_or_contraceptive_use,other,77.62972048414215,1.265365492936596,not_statistically_significant,lower_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP134,num_H1WP13,-1.035662687713775,1.0990650785464489,-0.9423124325662992,0.34690743769776333,0.35499105474919856,0.04117886080061164,3.0602752602149854,NA,estimated,condom_or_contraceptive_use,other,74.31665667083074,1.035662687713775,not_statistically_significant,lower_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M1_family_context,main_grade_10_12,a_H1CO13_yesno,M1_family_context,num_H1WP135,num_H1WP13,-0.8706144927891971,1.097779720106978,-0.7930684788969832,0.42846103118383705,0.4186941856237473,0.04869091852548531,3.600359705339644,NA,estimated,condom_or_contraceptive_use,other,73.94314616297864,0.8706144927891971,not_statistically_significant,lower_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE26,num_H1SE2,-17.315656667404177,0.7121196572968199,-24.31565606984334,1.174527916591673e-79,3.019297162185083e-8,7.477171967165605e-9,1.2191983003213716e-7,***,estimated,condom_or_contraceptive_use,sexual_behavior_related,16.305607329552124,17.315656667404177,p_lt_0_001,lower_odds,very_extreme_or_review,ci_width_not_extreme,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE25,num_H1SE2,15.873342941542262,0.8837610181302756,17.961125933258085,9.162881465738146e-53,7828981.176383787,1384945.499110988,44256576.377565965,***,estimated,condom_or_contraceptive_use,sexual_behavior_related,31.95546424460367,15.873342941542262,p_lt_0_001,higher_odds,very_extreme_or_review,wide_ci_review,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE35,num_H1SE3,-1.6202114335435556,0.6230200451336743,-2.6005767329619793,0.00966701538700871,0.19785686108353656,0.05834796935287353,0.6709288757090559,**,estimated,condom_or_contraceptive_use,sexual_behavior_related,11.498752795516335,1.6202114335435556,p_lt_0_01,lower_odds,extreme_or_review,ci_width_not_extreme,no_automatic_overlap_flag,review_due_to_extreme_or
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1MO23,num_H1MO2,2.1472674189679712,0.9998804780356896,2.1475240952662418,0.03237858354270523,8.561431598349495,1.2062322783237027,60.76616612770414,*,estimated,condom_or_contraceptive_use,other,50.37683638523642,2.1472674189679712,p_lt_0_05,higher_odds,extreme_or_review,wide_ci_review,no_automatic_overlap_flag,review_due_to_extreme_or
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1MO24,num_H1MO2,1.7089750118418348,0.9795639919363308,1.744628248802467,0.08185173054597422,5.5232972609558955,0.8097980265446676,37.6721251878726,.,estimated,condom_or_contraceptive_use,other,46.52039638651138,1.7089750118418348,p_lt_0_10,higher_odds,extreme_or_review,wide_ci_review,no_automatic_overlap_flag,review_due_to_extreme_or
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE24,num_H1SE2,-1.9753105772986177,1.326378298277488,-1.4892512791138628,0.13724417644706646,0.1387182228210907,0.01030617507109208,1.8671083316463324,NA,estimated,condom_or_contraceptive_use,sexual_behavior_related,181.16404182609008,1.9753105772986175,not_statistically_significant,lower_odds,extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,review_due_to_very_wide_ci
